Clutch.Number,Collection.Date,Calendar.Date,Collection.Site,Stage,Clutch.Size,Year,Simple.Site
1,6/8/12,8,WM,,,2012,WM
2,6/8/12,8,WM,,,2012,WM
3,6/8/12,8,WM,,,2012,WM
4,6/8/12,8,WM,,,2012,WM
5,6/10/12,10,RB,14,,2012,HF
6,6/10/12,10,RB,12,,2012,HF
7,6/10/12,10,RB,12,,2012,HF
8,6/10/12,10,RB,8,,2012,HF
9,6/12/12,12,WM,11,8,2012,WM
10,6/12/12,12,WM,9,6,2012,WM
11,6/12/12,12,WM,11,7,2012,WM
12,6/12/12,12,WM,11,6,2012,WM
13,6/12/12,12,WM,12,9,2012,WM
14,6/12/12,12,WM,10,4,2012,WM
15,6/12/12,12,WM,11,12,2012,WM
16,6/12/12,12,WM,11,7,2012,WM
17,6/12/12,12,WM,10,8,2012,WM
18,6/12/12,12,WM,11,10,2012,WM
19,6/12/12,12,WM,7,7,2012,WM
20,6/12/12,12,WM,14,10,2012,WM
21,6/12/12,12,WM,13,9,2012,WM
22,6/12/12,12,WM,11,10,2012,WM
23,6/12/12,12,WM,7,8,2012,WM
24,6/12/12,12,WM,6,10,2012,WM
25,6/12/12,12,WM,14,8,2012,WM
26,6/14/12,14,WB,6,7,2012,WB
27,6/14/12,14,WB,11,7,2012,WB
28,6/14/12,14,WB,16,6,2012,WB
29,6/14/12,14,WB,15,8,2012,WB
30,6/14/12,14,WB,2,6,2012,WB
31,6/14/12,14,WB,15,7,2012,WB
32,6/14/12,14,WB,8,11,2012,WB
33,6/14/12,14,WB,17,9,2012,WB
34,6/14/12,14,WB,16,7,2012,WB
35,7/8/12,38,WM,22,6,2012,WM
36,7/8/12,38,WM,20,5,2012,WM
37,7/8/12,38,WM,22,3,2012,WM
38,7/8/12,38,WM,20,8,2012,WM
1,6/8/13,8,RB,,8,2013,HF
2,6/8/13,8,RB,,10,2013,HF
3,6/8/13,8,RB,,8,2013,HF
4,6/8/13,8,RB,8,12,2013,HF
5,6/8/13,8,RB,,8,2013,HF
6,6/8/13,8,RB,7,10,2013,HF
7,6/8/13,8,RB,,12,2013,HF
