DPF,Stage
1.67,2
1.71,3
1.96,4
2.83,6
3.79,6
4.92,7
5.67,7
6.88,7
7.75,7
8.88,7
10.00,7
10.79,7
12.04,7
12.79,7
13.79,8
14.92,8
16.00,9
17.00,10
18.79,11
20.08,12
21.00,12
22.00,12
23.00,13
24.00,14
25.71,15
26.00,15
27.00,16
28.00,16
29.00,16
30.00,17
31.00,17
32.00,18
33.00,18
34.00,19
35.00,19
36.00,19
38.00,19
39.00,20
41.00,20
42.00,20
43.00,20
44.00,20
45.00,20
46.00,20
47.00,20
48.00,20
49.00,21
52.00,21
53.00,21
54.00,22
55.00,22
59.00,22
60.00,22
61.00,22
62.00,22
63.00,22
66.00,22
67.00,22
68.00,22
69.00,22
70.00,23
73.00,23
74.00,23
75.00,23
76.00,24
77.00,24
80.00,24
81.00,24
82.00,24
